,0,1,2,3,4
0,3284.3335,7932.3364,365.71524,1.7669749e-05,7.941198e-06
1,2497.8577,8782.135,192.59882,5.0954233e-05,3.1276616e-06
2,3725.7534,8928.185,447.31558,5.257691e-05,8.111162e-06
3,5470.709,1071.2155,244.5356,6.3963294e-06,7.5791318e-06
4,2316.6008,660.2174,266.3308,7.34e-05,7.4473683e-06
5,5875.271,4731.692,387.74203,1.603005e-05,6.9517287e-06
6,6174.2827,1423.291,22.075256,4.8718583e-05,6.8314826e-06
7,9095.943,7943.5293,171.12279,9.405645e-05,1.112748e-06
8,8774.378,1139.0917,356.6111,4.5914614e-05,4.3821883e-06
9,782.613,3238.0159,306.49677,7.563178e-05,2.8186153e-06
10,468.16748,5266.727,152.08446,2.9718238e-05,4.813926e-06
11,9295.207,8098.6597,267.9361,5.256464e-05,4.7257454e-06
12,3653.4192,5253.0884,18.459778,1.887213e-05,8.75755e-06
13,5059.303,5134.4004,337.8765,9.246494e-05,8.568601e-06
14,171.79047,8357.808,276.57645,3.0202209e-05,1.8193128e-06
15,1257.427,7738.5767,307.51254,9.6363445e-05,7.344345e-06
16,5698.822,869.9162,227.0684,2.7450847e-05,6.2705285e-06
17,2097.7341,1669.0176,52.651722,3.454536e-06,3.102753e-06
18,3179.4468,1068.8041,293.32852,5.231984e-05,6.6393127e-06
19,491.7574,5926.091,95.62413,3.8889266e-05,5.1540887e-06
20,6813.245,8004.946,171.43947,8.830401e-05,6.271283e-06
21,5623.5547,3876.4211,464.89362,6.7365516e-05,9.305661e-06
22,7570.3633,8242.3125,244.90369,7.6022865e-05,7.0728724e-06
23,6849.647,1364.7999,82.297066,6.8324036e-05,4.517585e-07
24,2031.05,9225.133,250.67796,7.4610616e-05,4.873802e-06
25,9230.961,8530.484,415.48605,5.1206844e-05,4.994557e-06
26,6611.9326,6887.608,251.33553,8.050245e-06,3.0172512e-06
27,9926.79,6341.447,270.95645,4.678627e-05,6.8494764e-06
28,4032.318,4019.7546,153.15506,9.84797e-05,6.7802935e-06
29,429.48285,1224.0637,244.65158,1.3860071e-05,1.8692164e-06
30,2208.0488,3147.9697,158.05656,6.979625e-05,9.533058e-06
31,4049.4753,1852.5233,130.06464,1.3679897e-05,9.963636e-07
32,305.2035,1879.4146,113.76087,7.0705064e-05,6.917919e-07
33,6298.808,348.90674,347.62128,6.2481246e-05,8.617291e-06
34,714.9888,8464.59,265.25848,9.333029e-05,1.9348624e-06
35,7194.4355,8810.542,202.34225,8.185742e-05,9.681409e-06
36,397.88293,5380.9062,378.23737,3.041154e-05,3.3659985e-06
37,5894.3916,7717.013,366.31284,1.3199747e-05,4.5483807e-06
38,7215.803,6808.8286,388.38104,8.983861e-05,7.988409e-06
39,4078.1936,9037.821,10.631946,1.5258014e-06,2.950892e-06
40,2513.0957,4114.0215,438.19086,3.675916e-05,2.9021777e-07
41,9071.683,8247.759,377.3413,4.87863e-05,7.155636e-06
42,1147.1742,196.61966,146.97424,6.656155e-05,6.9335715e-06
43,2323.0393,8298.5205,426.18948,9.9986624e-05,1.7057667e-06
44,4060.0803,2696.9702,93.65963,7.8186524e-05,1.4193992e-06
45,3076.4504,8195.08,113.662186,8.673544e-05,9.503299e-06
46,3999.7493,646.1406,188.82341,7.151772e-05,5.7111706e-06
47,2237.6082,1493.8895,309.46408,3.7396287e-05,3.711882e-06
48,6496.1245,8058.105,348.8267,9.034989e-05,1.7901519e-06
49,2812.4204,1800.9045,180.34239,1.2558436e-05,4.5341267e-06
50,5745.8623,7463.0127,473.11044,6.264578e-05,7.376423e-06
51,347.43726,9890.772,450.71313,5.4376833e-05,1.6346755e-06
52,4679.192,8308.03,243.90837,9.942095e-05,7.351819e-06
53,2820.6494,3177.5188,155.24678,7.689675e-05,2.4939511e-06
54,2179.2139,5765.0723,9.7551985,9.953666e-05,3.095352e-06
55,2227.9272,5818.701,158.91493,6.4967484e-05,1.0382603e-06
56,556.0077,627.9925,168.85652,7.5603355e-05,6.368102e-06
57,626.64343,8227.111,126.868095,2.7767776e-06,1.3275481e-06
58,8267.833,5177.0513,27.374254,7.574709e-05,4.9501145e-06
59,6890.912,8889.994,340.04382,2.0072966e-05,7.217089e-06
60,1363.38,2144.252,301.17676,1.7787934e-05,3.0775946e-06
