,richness,hill_abund_1,hill_abund_2,hill_abund_3,hill_abund_4,hill_trait_1,hill_trait_2,hill_trait_3,hill_trait_4
0,76,17.666319328068614,6.9893261128515665,4.915958819637438,4.203422152008756,19.27941322232268,9.717616620073013,7.375259934570697,6.4858683073216925
1,45,17.651925991036798,10.757180930840338,8.159125547272152,6.953696485830772,18.66635163019698,12.601611126968258,10.128038579809914,8.853715169852284
2,85,27.3953416403139,11.335121948033283,7.283560910185806,5.9402373775609165,34.00638433008869,17.73279047938641,13.079645148885627,11.278031437251089
3,87,19.364259131900003,6.45743971898812,4.34180779347749,3.7029170205688984,30.06246348742113,15.420107584580146,12.120160375459806,10.869492013285942
4,63,28.044520090427323,19.921734161103462,16.731000746764646,14.980600156514498,31.1353418084715,22.48060452879656,19.168448276363414,17.45436859886571
5,111,17.135309841904533,4.609408605489182,3.230367754420161,2.837751615834397,34.61259465836515,17.205414301037212,13.937123716891602,12.639644149187344
6,13,3.958598091773934,2.761847681413851,2.4162955372325152,2.257724568216033,6.57935018439874,4.530723000640722,3.7412809636384474,3.3929351160822976
7,69,9.352390406206444,3.1490347392771074,2.4093688112355376,2.186271156203886,25.28449738941838,13.704898765865583,11.274260675626264,10.219315282229148
8,113,8.734319316060294,2.526818092450011,2.0184544400827686,1.867163454700746,22.441220895496546,12.69366439799913,10.433558111750555,9.389393961317534
9,29,12.402573643745862,7.83390194349676,6.341427388881036,5.692998303256306,14.443115631910223,8.889447499623856,7.002237757849287,6.163795708932871
10,21,11.631371103625385,8.87455429497569,7.727441812242949,7.093800200247913,11.664803985932734,8.943169800328072,7.869908335613159,7.324180689426559
11,96,10.77635491837685,3.095492939650466,2.3638257859305307,2.1489110107126175,28.89820295879655,15.146246905559181,12.571373271787396,11.402016944224298
12,9,3.7975990692901687,2.695202609645274,2.3579994266817486,2.2035511475658214,5.7909402355146,3.88108940745171,3.3277285630662616,3.1134378355650862
13,103,17.35014385395299,5.105064656354599,3.5480151390255497,3.088859363662908,32.76515081764396,15.231022810734938,11.703339117058796,10.345360283213525
14,8,4.163052201161191,2.940170940170941,2.492099408647263,2.290800618800217,8.748593606314506,7.0489101744693246,6.177458909019713,5.6032285661306425
15,42,19.84407383797844,14.190060081365795,11.982634437958167,10.819287410447753,21.96611632591211,16.325008676030986,14.039037115444597,12.818054256024281
16,83,17.238844424591253,6.273748697339433,4.324112495775779,3.70280917444365,23.47857069756579,11.798550506094752,8.96013529289341,7.824683351969626
17,23,9.183217459418149,6.446119824846593,5.433038079944023,4.965395577125408,9.995060090016445,6.710895521229132,5.565595836597577,5.049153762019402
18,85,34.60793704640256,22.04340391003815,17.75886384458598,15.764833207303717,37.532922300274656,24.141359483920837,19.31149599303882,16.92389684328148
19,21,7.26779014088362,5.129343956602814,4.566763621344883,4.324724034725052,10.065601291346633,7.341646763645611,6.166948453950934,5.489995224046353
20,71,11.415897649999296,4.115951951414054,3.03392440122904,2.6907453654357507,20.55352056146167,10.44840212960354,8.257952533640035,7.368976350330452
21,129,28.47645224827939,7.99567623318612,5.086801947421538,4.260582492280882,44.454693720385784,19.943404490948307,14.790320177807299,12.759224287142013
22,91,12.59859066496814,3.638940060415211,2.684277314560843,2.4064031045970578,26.911029450302998,14.657793567374023,12.104419202074988,10.938299822933441
23,38,7.56712624089868,3.6707620759447406,2.8504861224969917,2.5568725711273874,11.81778384148993,8.184627934384496,6.93512036289594,6.293233131695558
24,52,20.67332980562635,15.571355230326109,13.821335670802634,12.834079494413348,22.00343616293379,16.532293384383042,14.668850132367355,13.63149608008558
25,129,10.74938518739205,2.7552746045956313,2.1518458026047447,1.9763351133075644,27.407733384869736,17.060834793356516,14.968169293626298,13.848482778179427
26,83,10.286356577616692,3.47983768070168,2.6391468157935765,2.375256069436707,21.365885567454296,10.081237814615939,7.5978990455010935,6.615787234776096
27,105,10.16599221396131,2.890945209635145,2.241400722948239,2.0496584018117883,27.44425020850607,15.79679941482589,12.944336534658367,11.233882613945742
28,64,20.525900016185545,9.537137701351986,6.494992625946781,5.390713036770673,25.817809072666858,15.276565864093106,11.991937816869001,10.577702420940762
29,19,6.577161832203574,3.301598406974867,2.5716138939972097,2.3222580687980403,11.685768769184545,8.094617376497386,7.086106201188405,6.602897131292954
30,39,12.134818920897434,7.298692743920329,5.701482354358927,4.9556955547414345,16.811201172328463,10.432329901050249,8.349312136595817,7.376506950606518
31,54,20.108244653047368,11.378465978219456,8.104279997659452,6.7321141292208955,21.73348994375486,14.006257821814954,10.906327874656116,9.419286026209413
32,11,8.057690507743686,7.108198976083136,6.605929855849319,6.292845015000196,9.538044751319052,8.27130884050216,7.581789657936569,7.111913319344198
33,123,20.727078861714816,5.494353309782317,3.718436699676603,3.217302931193888,37.081499050499964,17.16447693318788,13.347549402957945,11.870350828037843
34,27,14.296914140356447,10.081146102423537,8.261762677003915,7.367367805385441,15.311474594699686,11.021277571415075,8.904960041585145,7.80466056923614
35,84,11.101351421867998,3.6423506579276963,2.7291076933694507,2.447059452229783,27.16737648281753,12.214533725347525,8.667484853833226,7.219864980697237
36,13,6.904862837795408,5.4520547945205475,4.828768249705812,4.457696432741567,7.446664522701398,5.8889849449428615,5.354774282687697,5.0877314852258735
37,96,21.630431970237304,6.428011350852059,4.264108830668883,3.638450963177399,32.82539699546085,16.89689649391978,13.264486911749168,11.811374632406793
38,127,14.453935191630103,3.5489446946841854,2.620177746647182,2.3548174221916387,34.888209436138006,16.66687359731094,13.618942242787462,12.358131729542736
39,7,2.2100329841915793,1.6591829877035513,1.506637188243067,1.4442859018477172,4.445898822271165,3.647236340930106,3.360289436907594,3.224136090183899
40,64,20.948962662707775,9.281076076333521,6.233131851833481,5.172963648966706,28.18608193422138,16.14260505050245,12.388037683958133,10.784659286487457
41,121,10.802246845860822,2.8469925087468493,2.208505336995142,2.0225835968179733,25.625275364019828,15.364991083055294,13.347284991157043,12.389572423458183
